instance,method,seed,iters,top_k,C1,C2,C3,runtime_sec
instance8.json,no_local,6,0,3,182,130,-5,0.001269
instance8.json,no_local,7,0,3,180,112,-6,0.001422
instance8.json,no_local,8,0,3,181,115,-7,0.001162
instance8.json,no_local,9,0,3,180,125,-8,0.001565
instance8.json,no_local,10,0,3,181,124,-5,0.001138
instance9.json,local,1,1200,3,221,152,-1,0.424131
instance9.json,local,2,1200,3,221,151,-1,0.435741
instance9.json,local,3,1200,3,221,147,-1,0.424636
instance9.json,local,4,1200,3,221,147,-2,0.425675
instance9.json,local,5,1200,3,221,150,-2,0.439029
instance9.json,local,6,1200,3,221,143,-1,0.43698
instance9.json,local,7,1200,3,221,146,-1,0.426184
instance9.json,local,8,1200,3,220,151,-1,0.427527
instance9.json,local,9,1200,3,221,156,-1,0.424802
instance9.json,local,10,1200,3,221,153,-1,0.440826
instance9.json,no_local,1,0,3,217,135,-1,0.001721
instance9.json,no_local,2,0,3,217,142,-1,0.001429
instance9.json,no_local,3,0,3,216,138,-1,0.001773
instance9.json,no_local,4,0,3,218,139,-2,0.001686
instance9.json,no_local,5,0,3,217,138,-2,0.001448
instance9.json,no_local,6,0,3,220,136,-1,0.001415
instance9.json,no_local,7,0,3,220,132,-1,0.00165
instance9.json,no_local,8,0,3,218,132,-1,0.001416
instance9.json,no_local,9,0,3,220,146,-1,0.001645
instance9.json,no_local,10,0,3,219,149,-1,0.001461
